"PUNTO DE INFORMACIÓN","MES","AÑO","PAIS DE PROCEDENCIA","CIUDAD DE PROCEDENCIA","CIUDAD DE DESTINO 1","CIUDAD DE DESTINO 2","CIUDAD DE DESTINO 3","CIUDAD DE DESTINO 4","CIUDAD DE DESTINO 5","SEXO","MOTIVO DEL VIAJE","TIEMPO DE PERMANENCIA EN DIAS","TIPO ALOJAMIENTO","TIPO TRANSPORTE","PRESUPUESTO","RESULTADO SATISFACCIÓN","CANTIDAD DE VIAJEROS"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","Cuítiva","Iza","Firavitoba","Tota","Masculino","Turismo de Naturaleza.","1","Pasadía","Bus","Entre $ 300.000 a $ 600.000 COP.","10","4"
"Aquitania","3","2,023","Colombiano","Casanare","Aquitania","Cuítiva","Iza","Tota","NA","Masculino","Turismo de Naturaleza.","3","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","4"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","Cuítiva","Iza","Monguí","Tota","Masculino","Turismo de Naturaleza.","2","Finca agroturística/Alojamiento rural.","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","10","2"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","Ráquira","Tunja","NA","NA","Masculino","Turismo de Naturaleza.","1","Pasadía","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","4"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","Firavitoba","Iza","NA","NA","Masculino","Turismo de Naturaleza.","2","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","10","2"
"Aquitania","3","2,023","Colombiano","Santander","Aquitania","Iza","Sogamoso","Tota","NA","Masculino","Turismo de Naturaleza.","1","Pasadía","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","4"
"Aquitania","5","2,023","Colombiano","Cundinamarca","Paipa","NA","NA","NA","NA","Femenino","Turismo local y departamental","1","Pasadía","Bus","0","0","0"
"Aquitania","3","2,023","Colombiano","Bogotá","Aquitania","Iza","Tota","Villa De Leyva","NA","Masculino","Turismo de Naturaleza.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","2"
"Aquitania","3","2,023","Colombiano","Valle Del Cauca","Aquitania","Nobsa","Sogamoso","Tibasosa","NA","Masculino","Turismo de Naturaleza.","3","familiar","Bus","Entre $ 300.000 a $ 600.000 COP.","10","4"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","Cuítiva","Iza","Nobsa","Tota","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","Cuítiva","Iza","Sogamoso","Tibasosa","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","2"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","Cuítiva","Sogamoso","Tota","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","2"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","NA","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","4"
"Aquitania","3","2,023","Colombiano","Casanare","Aquitania","Iza","Pajarito","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","2"
"Aquitania","3","2,023","Colombiano","Boyacá","Aquitania","Cuítiva","Tota","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","2"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","Nobsa","Sogamoso","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","3","2,023","Colombiano","Bogotá","Aquitania","Nobsa","Duitama","Sogamoso","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","8","4"
"Aquitania","3","2,023","Colombiano","Casanare","Aquitania","Cuítiva","Iza","Tota","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","2"
"Aquitania","3","2,023","Colombiano","Casanare","Aquitania","Cuítiva","Iza","Sogamoso","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","4"
