PUNTO DE INFORMACIÓN,MES,AÑO,PAIS DE PROCEDENCIA,CIUDAD DE PROCEDENCIA,CIUDAD DE DESTINO 1,CIUDAD DE DESTINO 2,CIUDAD DE DESTINO 3,CIUDAD DE DESTINO 4,CIUDAD DE DESTINO 5,SEXO,MOTIVO DEL VIAJE,TIEMPO DE PERMANENCIA EN DIAS,TIPO ALOJAMIENTO,TIPO TRANSPORTE,PRESUPUESTO,RESULTADO SATISFACCIÓN,CANTIDAD DE VIAJEROS
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,Cuítiva,Iza,Firavitoba,Tota,Masculino,Turismo de Naturaleza.,1.0,Pasadía,Bus,Entre $ 300.000 a $ 600.000 COP.,10,4.0
Aquitania,3,"2,023",Colombiano,Casanare,Aquitania,Cuítiva,Iza,Tota,,Masculino,Turismo de Naturaleza.,3.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,4.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,Cuítiva,Iza,Monguí,Tota,Masculino,Turismo de Naturaleza.,2.0,Finca agroturística/Alojamiento rural.,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,10,2.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,Ráquira,Tunja,,,Masculino,Turismo de Naturaleza.,1.0,Pasadía,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,4.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,Firavitoba,Iza,,,Masculino,Turismo de Naturaleza.,2.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,10,2.0
Aquitania,3,"2,023",Colombiano,Santander,Aquitania,Iza,Sogamoso,Tota,,Masculino,Turismo de Naturaleza.,1.0,Pasadía,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,4.0
Aquitania,5,"2,023",Colombiano,Cundinamarca,Paipa,,,,,Femenino,Turismo local y departamental,1.0,Pasadía,Bus,0,0,0.0
Aquitania,3,"2,023",Colombiano,Bogotá,Aquitania,Iza,Tota,Villa De Leyva,,Masculino,Turismo de Naturaleza.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,2.0
Aquitania,3,"2,023",Colombiano,Valle Del Cauca,Aquitania,Nobsa,Sogamoso,Tibasosa,,Masculino,Turismo de Naturaleza.,3.0,familiar,Bus,Entre $ 300.000 a $ 600.000 COP.,10,4.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,Cuítiva,Iza,Nobsa,Tota,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
